iter	Passed	Remaining
0	10	5000
1	18	4578
2	26	4435
3	34	4231
4	41	4154
5	49	4056
6	57	4014
7	65	4023
8	73	4019
9	81	3974
10	89	3976
11	97	3949
12	106	3979
13	113	3933
14	121	3913
15	127	3871
16	134	3833
17	142	3808
18	148	3770
19	156	3753
20	163	3736
21	171	3722
22	178	3705
23	186	3692
24	193	3675
25	201	3667
26	209	3676
27	217	3673
28	226	3670
29	233	3664
30	241	3651
31	248	3638
32	256	3627
33	263	3610
34	271	3600
35	278	3583
36	285	3571
37	292	3560
38	301	3558
39	309	3553
40	316	3542
41	323	3529
42	331	3521
43	338	3509
44	346	3499
45	353	3485
46	360	3478
47	368	3473
48	376	3464
49	385	3469
50	392	3459
51	401	3459
52	409	3452
53	417	3448
54	424	3436
55	432	3430
56	439	3417
57	446	3403
58	454	3393
59	461	3383
60	469	3376
61	475	3362
62	484	3358
63	490	3344
64	498	3335
65	506	3327
66	513	3316
67	520	3306
68	526	3290
69	534	3282
70	541	3269
71	548	3261
72	554	3245
73	562	3237
74	569	3228
75	576	3218
76	584	3209
77	590	3196
78	598	3187
79	605	3177
80	612	3170
81	619	3159
82	626	3149
83	634	3144
84	641	3132
85	648	3123
86	655	3113
87	662	3104
88	669	3091
89	676	3082
90	683	3073
91	690	3061
92	698	3055
93	704	3044
94	713	3040
95	721	3034
96	728	3025
97	735	3016
98	742	3007
99	750	3002
100	757	2992
101	765	2986
102	772	2978
103	780	2973
104	787	2963
105	795	2957
106	803	2951
107	811	2945
108	818	2936
109	826	2931
110	834	2925
111	841	2915
112	849	2910
113	857	2902
114	864	2894
115	871	2884
116	878	2876
117	885	2867
118	892	2858
119	898	2846
120	905	2836
121	912	2828
122	919	2818
123	926	2809
124	933	2799
125	940	2792
126	948	2786
127	955	2777
128	963	2771
129	970	2761
130	978	2755
131	985	2746
132	993	2741
133	1001	2736
134	1010	2731
135	1018	2725
136	1026	2720
137	1034	2714
138	1042	2707
139	1055	2712
140	1067	2716
141	1078	2718
142	1086	2711
143	1096	2709
144	1104	2703
145	1111	2694
146	1118	2684
147	1125	2675
148	1131	2665
149	1139	2658
150	1146	2649
151	1153	2641
152	1161	2634
153	1168	2624
154	1175	2616
155	1182	2608
156	1190	2601
157	1197	2591
158	1204	2583
159	1212	2576
160	1219	2568
161	1226	2560
162	1233	2550
163	1241	2542
164	1248	2534
165	1256	2527
166	1263	2520
167	1271	2512
168	1279	2506
169	1289	2502
170	1297	2495
171	1304	2488
172	1313	2482
173	1322	2478
174	1331	2472
175	1340	2467
176	1348	2459
177	1356	2453
178	1363	2445
179	1371	2437
180	1377	2428
181	1385	2420
182	1392	2412
183	1399	2403
184	1406	2394
185	1413	2385
186	1421	2378
187	1427	2369
188	1435	2362
189	1442	2353
190	1449	2345
191	1455	2335
192	1462	2326
193	1470	2319
194	1477	2311
195	1485	2303
196	1492	2295
197	1500	2288
198	1506	2278
199	1514	2271
200	1534	2283
201	1541	2273
202	1548	2265
203	1556	2258
204	1563	2250
205	1570	2241
206	1577	2233
207	1585	2225
208	1591	2216
209	1599	2208
210	1606	2200
211	1613	2192
212	1622	2186
213	1630	2178
214	1637	2171
215	1644	2162
216	1651	2154
217	1658	2145
218	1666	2138
219	1673	2129
220	1681	2122
221	1688	2113
222	1695	2105
223	1701	2096
224	1708	2087
225	1715	2080
226	1722	2071
227	1730	2064
228	1737	2056
229	1744	2048
230	1751	2039
231	1758	2031
232	1765	2023
233	1772	2015
234	1779	2006
235	1787	1999
236	1793	1990
237	1800	1982
238	1807	1973
239	1815	1966
240	1822	1958
241	1830	1951
242	1837	1943
243	1846	1937
244	1853	1928
245	1860	1921
246	1868	1914
247	1876	1906
248	1883	1898
