,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A,0.0800531561461794,0.07782059800664452,0.07896345514950166,0.08071760797342192,0.0802126245847176,0.08069102990033222,0.08114285714285714,0.0772624584717608,0.07715614617940199,0.08143521594684386,0.08151495016611296,0.07683720930232558,0.08188704318936878,0.08236544850498338,0.07952159468438538,0.0,0.07444518272425249,0.07651827242524917,0.07370099667774087,0.07415282392026579,0.07811295681063123,0.0775548172757475,0.07452491694352159,0.07500332225913621,0.07643853820598007,0.07720930232558139,0.07625249169435216,0.07526910299003323,0.0774485049833887,0.07378073089700997,0.07922923588039867
C,0.01629235880398671,0.014245847176079735,0.014511627906976745,0.016,0.014777408637873754,0.015176079734219269,0.015255813953488372,0.016,0.015229235880398671,0.01653156146179402,0.01520265780730897,0.014990033222591362,0.015282392026578074,0.015893687707641196,0.016425249169435215,0.0,0.014511627906976745,0.01573421926910299,0.013687707641196013,0.013342192691029901,0.014777408637873754,0.014963455149501662,0.01411295681063123,0.013794019933554818,0.014485049833887043,0.015415282392026579,0.015122923588039867,0.013661129568106313,0.014724252491694352,0.015096345514950166,0.014538205980066445
D,0.060704318936877076,0.06054485049833887,0.05799335548172758,0.060146179401993356,0.06320265780730897,0.060411960132890366,0.06025249169435216,0.0586312292358804,0.06338870431893688,0.05948172757475083,0.060970099667774086,0.06702990033222592,0.06785382059800664,0.060093023255813956,0.0561063122923588,0.0,0.05881727574750831,0.04940863787375415,0.060598006644518275,0.061448504983388705,0.05966777408637874,0.05576079734219269,0.06075747508305648,0.061661129568106314,0.05756810631229236,0.05671760797342193,0.05945514950166113,0.058578073089701,0.05671760797342193,0.05706312292358804,0.05812624584717608
E,0.0746843853820598,0.07779401993355482,0.07805980066445183,0.07795348837209302,0.0775282392026578,0.07720930232558139,0.07502990033222591,0.07805980066445183,0.08140863787375416,0.07798006644518272,0.07633222591362127,0.09081727574750831,0.09661129568106312,0.07819269102990033,0.09081727574750831,0.0,0.0801328903654485,0.07003322259136213,0.08637873754152824,0.08895681063122923,0.07819269102990033,0.07330232558139535,0.07914950166112956,0.07795348837209302,0.07821926910299003,0.07630564784053157,0.07449833887043189,0.07702325581395349,0.07845847176079734,0.0773953488372093,0.07529568106312293
F,0.035295681063122926,0.038245847176079734,0.036943521594684385,0.037953488372093024,0.036465116279069766,0.037820598006644515,0.03891029900332226,0.038325581395348834,0.04039867109634551,0.03904318936877076,0.03893687707641196,0.036837209302325584,0.03930897009966777,0.04122259136212625,0.0346578073089701,0.0,0.03253156146179402,0.038086378737541525,0.03508305647840532,0.036651162790697675,0.036411960132890366,0.03784717607973422,0.036624584717607975,0.03439202657807309,0.036411960132890366,0.03758139534883721,0.03598671096345515,0.034764119601328906,0.037953488372093024,0.036624584717607975,0.03891029900332226
G,0.06862458471760798,0.06974086378737542,0.06849169435215947,0.06883720930232558,0.07093687707641196,0.07128239202657807,0.06790697674418604,0.06992691029900332,0.06713621262458472,0.06960797342192691,0.06453156146179402,0.06442524916943522,0.06607308970099668,0.06564784053156146,0.07699667774086379,0.0,0.05841860465116279,0.06354817275747508,0.06567441860465116,0.0642126245847176,0.06283056478405316,0.06702990033222592,0.06628571428571428,0.06439867109634552,0.06825249169435216,0.06878405315614618,0.06803986710963456,0.06588704318936878,0.06599335548172758,0.06835880398671096,0.0664983388704319
H,0.02104983388704319,0.020624584717607974,0.022857142857142857,0.022857142857142857,0.022830564784053157,0.023176079734219267,0.02104983388704319,0.022803986710963457,0.0213421926910299,0.021900332225913623,0.021475083056478404,0.021740863787375414,0.02211295681063123,0.02025249169435216,0.020119601328903655,0.0,0.020704318936877075,0.021687707641196013,0.02006644518272425,0.020385382059800665,0.019853820598006645,0.021926910299003323,0.02104983388704319,0.022033222591362128,0.021767441860465118,0.021794019933554818,0.02078405315614618,0.02083720930232558,0.021501661129568108,0.021687707641196013,0.0212624584717608
I,0.04853156146179402,0.05028571428571429,0.05020598006644518,0.04730897009966777,0.04850498338870432,0.04778737541528239,0.04978073089700997,0.05031229235880399,0.04978073089700997,0.05020598006644518,0.052916943521594685,0.05118936877076412,0.045980066445182724,0.05464451827242525,0.047122923588039864,0.0,0.04914285714285714,0.053820598006644516,0.04996677740863787,0.047388704318936874,0.05174750830564784,0.0506843853820598,0.04839867109634551,0.0480531561461794,0.04871760797342193,0.0506578073089701,0.04786710963455149,0.04919601328903654,0.05025913621262459,0.04938205980066445,0.04943521594684385
K,0.04887707641196013,0.04994019933554817,0.04765448504983389,0.046325581395348835,0.045820598006644515,0.04334883720930233,0.03877740863787375,0.03936212624584717,0.036305647840531564,0.0320531561461794,0.028704318936877075,0.023893687707641196,0.019162790697674417,0.014086378737541528,0.007840531561461793,1.0,0.07601328903654485,0.07316943521594685,0.07253156146179401,0.07040531561461794,0.06790697674418604,0.06718936877076412,0.07210631229235881,0.0719734219269103,0.06793355481727575,0.07125581395348837,0.07120265780730897,0.07037873754152824,0.06756146179401994,0.07035215946843854,0.06841196013289036
L,0.0932624584717608,0.09071096345514951,0.09363455149501661,0.08866445182724253,0.09007308970099667,0.09121594684385383,0.09475083056478405,0.09211960132890365,0.09198671096345515,0.09525581395348837,0.09794019933554818,0.09222591362126246,0.08999335548172757,0.10362790697674419,0.10030564784053156,0.0,0.09421926910299003,0.10511627906976745,0.08677740863787375,0.09028571428571429,0.09166777408637873,0.09211960132890365,0.08773421926910299,0.08938205980066445,0.09235880398671097,0.08948837209302325,0.09230564784053157,0.08906312292358803,0.08980730897009967,0.08996677740863787,0.08906312292358803
